ID,Confidence,R.A.,Decl.,D,Teff,logg,[Fe/H],Source
31248,0.908203,194.2942748,27.50170075,36033.35184,,,,
31249,0.939453,194.7899028,27.48805001,25723.81822,,,,
31250,0.713867,177.2957028,28.0070917,5770.744107,8359.258433,3.510205228,-1.499059344,
31251,0.951172,180.8090189,28.21334451,14278.15583,7874.4,3.151399,-1.75727,N
31252,0.775879,183.968647,28.21410596,53266.93605,,,,
31253,0.909668,183.8136189,28.24435179,47974.63191,,,,
31254,0.923828,184.1162995,28.33122344,22049.81253,9819.8,4.473744,-1.528519,
31255,0.753418,187.1190148,28.28519815,17337.21555,9256,4.171196,-1.489872,
31256,0.845703,190.2039994,28.06734475,20460.12465,8658.237184,3.457706496,-1.8246452,N
31257,0.875488,190.249179,28.21100257,9738.303109,8829.210874,3.502866518,-1.624411733,N
31258,0.709961,193.2974002,27.92668208,70771.53808,,,,
31259,0.932129,193.3529442,27.92990214,47274.57728,,,,
31260,0.837891,198.1001647,27.65435008,,,,,
31261,0.791504,173.8355263,28.10984309,50767.12507,,,,
31262,0.887207,173.9073207,28.30369833,44213.31793,,,,
31263,0.887207,187.8201751,28.69933905,40083.02683,,,,
31264,0.765625,189.0428356,28.6428541,57412.74538,,,,
31265,0.876465,189.0835545,28.52868958,,25661.2,4.848492,-4,
31266,0.936523,191.7942181,28.5216056,19595.239,,,,
31267,0.824219,195.2756352,28.27851661,65644.12053,,,,
31268,0.765137,174.0161376,23.63414391,55649.55502,,,,
31269,0.856445,176.9135585,23.83148259,18019.80403,,,,
31270,0.627441,181.1146513,23.95983507,78103.56281,,,,
31271,0.800781,181.2840887,24.05891124,7643.637128,10225.8,3.052474,-1.565242,N
31272,0.926758,184.8790142,24.05169351,21522.32039,9507.284455,3.476016048,-1.760693055,
31273,0.683105,185.1745647,24.14099757,83439.6767,,,,
31274,0.702148,192.3831862,23.88017609,85140.57348,,,,
31275,0.785645,192.6279593,23.92136728,8763.784928,9145.552983,3.461482006,-1.649938843,N
31276,0.913574,192.4730451,23.88251857,19145.15603,8818.572999,3.752249437,-1.776125704,
31277,0.922852,196.8737031,23.6299079,45492.09594,,,,
31278,0.632324,199.6782218,23.44205222,,,,,
31279,0.733398,199.7676723,23.39589004,7473.43401,,,,
31280,0.874512,200.397497,23.20621001,39153.49686,,,,
31281,0.68457,201.4228184,23.15641211,8650.491083,,,,
31282,0.697754,204.1200766,22.92192277,65043.58248,,,,
31283,0.81543,174.2267119,24.12013646,58253.9725,,,,
31284,0.714844,174.7538569,24.06395271,45689.69603,,,,
31285,0.966309,174.6584622,24.21212095,26608.07668,,,,
31286,0.814941,176.3441867,24.22586364,,,,,
31287,0.890137,176.2770633,24.12560401,31999.08678,,,,
31288,0.873535,177.0900056,24.36405799,54944.40304,,,,
31289,0.892578,177.1043632,24.16660689,25958.37212,,,,
31290,0.897461,185.9871644,24.4397924,20984.83622,9118.629835,3.386366085,-3.055236943,N
31291,0.751953,191.5761666,24.43104406,72273.10528,,,,
31292,0.877441,195.3528889,24.06877162,47215.3727,,,,
31293,0.876465,198.2995331,23.79633567,46174.56145,,,,
31294,0.902344,198.8179955,23.87432536,10912.33271,,,,
31295,0.8125,199.3410428,23.8692051,59124.68783,,,,
31296,0.675293,199.3503174,23.68472817,67096.49312,,,,
31297,0.857422,199.3837674,23.67309284,18040.31013,8341.885871,3.644643408,-2.172083874,
31298,0.76416,200.0989734,23.63939036,75213.55608,,,,
31299,0.816895,200.1630939,23.7717538,47568.37269,,,,
